Bandwidth;Datasize;NB_concurrent_users;Memory;Load;Processing;Fuzzy_output
85;510;56;10;89;67.539;0.000/local_processing + 1.000/remote_processing
47;283;66;54;30;51.393;0.592/local_processing + 0.741/remote_processing
83;502;8;87;77;67.539;0.000/local_processing + 1.000/remote_processing
81;486;50;87;3;67.539;0.000/local_processing + 1.000/remote_processing
72;435;66;6;38;67.539;0.000/local_processing + 1.000/remote_processing
67;402;92;10;50;67.539;0.000/local_processing + 1.000/remote_processing
44;267;50;38;86;68.541;0.000/local_processing + 1.000/remote_processing
94;566;9;15;0;67.539;0.000/local_processing + 1.000/remote_processing
71;431;13;24;66;67.539;0.000/local_processing + 1.000/remote_processing
42;252;4;97;93;68.196;0.000/local_processing + 1.000/remote_processing
77;465;78;56;10;67.539;0.000/local_processing + 1.000/remote_processing
13;80;38;66;54;46.828;0.650/local_processing + 0.483/remote_processing
61;367;96;8;87;67.539;0.000/local_processing + 1.000/remote_processing
89;537;75;50;87;67.539;0.000/local_processing + 1.000/remote_processing
15;90;31;66;6;35.139;1.000/local_processing + 0.250/remote_processing
93;558;96;92;10;67.539;0.000/local_processing + 1.000/remote_processing
53;323;36;50;38;63.694;0.133/local_processing + 1.000/remote_processing
74;444;6;9;15;67.539;0.000/local_processing + 1.000/remote_processing
89;536;51;13;24;67.539;0.000/local_processing + 1.000/remote_processing
58;353;78;4;97;67.971;0.000/local_processing + 1.000/remote_processing
89;535;17;78;56;67.539;0.000/local_processing + 1.000/remote_processing
30;180;42;38;66;21.575;1.000/local_processing + 0.000/remote_processing
77;462;44;96;8;67.539;0.000/local_processing + 1.000/remote_processing
3;21;45;75;50;60.275;0.150/local_processing + 0.850/remote_processing
38;229;51;31;66;61.855;0.200/local_processing + 1.000/remote_processing
50;302;17;96;92;67.903;0.000/local_processing + 1.000/remote_processing
86;517;94;36;50;67.539;0.000/local_processing + 1.000/remote_processing
0;1;78;6;9;68.077;0.000/local_processing + 1.000/remote_processing
66;399;48;51;13;67.539;0.000/local_processing + 1.000/remote_processing
93;560;5;78;4;67.539;0.000/local_processing + 1.000/remote_processing
10;63;64;17;78;54.958;0.500/local_processing + 1.000/remote_processing
54;329;95;42;38;62.673;0.133/local_processing + 1.000/remote_processing
87;526;95;44;96;67.539;0.000/local_processing + 1.000/remote_processing
87;527;81;45;75;67.539;0.000/local_processing + 1.000/remote_processing
6;37;19;51;31;54.383;0.300/local_processing + 0.700/remote_processing
10;61;66;17;96;54.958;0.500/local_processing + 1.000/remote_processing
38;229;56;94;36;50.122;0.467/local_processing + 0.733/remote_processing
15;95;5;78;6;38.605;0.750/local_processing + 0.250/remote_processing
24;149;73;48;51;21.575;1.000/local_processing + 0.000/remote_processing
97;586;10;5;78;67.539;0.000/local_processing + 1.000/remote_processing
56;336;90;64;17;58.847;0.185/local_processing + 0.815/remote_processing
66;398;5;95;42;67.539;0.000/local_processing + 1.000/remote_processing
8;53;71;95;44;50.712;0.400/local_processing + 0.600/remote_processing
50;303;74;81;45;67.991;0.000/local_processing + 1.000/remote_processing
66;400;65;19;51;67.539;0.000/local_processing + 1.000/remote_processing
92;554;71;66;17;67.539;0.000/local_processing + 1.000/remote_processing
50;301;95;56;94;67.903;0.000/local_processing + 1.000/remote_processing
9;58;61;5;78;55.6;0.450/local_processing + 1.000/remote_processing
13;78;50;73;48;42.529;0.650/local_processing + 0.350/remote_processing
4;25;85;10;5;61.223;0.200/local_processing + 1.000/remote_processing
